,0,1,2,3,4,5,6,7
beaucoup,0.938,0.972,0.88,0.959,0.914,0.884,0.858,0.881
mars,0.227,0.328,0.27,0.084,0.192,0.456,0.102,0.443
voir,0.873,0.91,0.966,0.997,0.978,0.87,0.946,0.881
mai,0.538,0.812,0.729,0.811,0.583,0.52,0.321,0.881
points,0.873,0.972,0.987,0.926,0.909,0.842,0.889,0.881
conférence,0.873,0.523,0.275,0.336,0.597,0.649,0.642,0.881
w,0.541,0.569,0.491,0.829,0.948,0.988,0.97,0.766
public,0.218,0.496,0.258,0.184,0.11,0.017,0.243,0.331
dire,0.649,0.386,0.27,0.48,0.469,0.125,0.0,0.023
el,0.452,0.241,0.565,0.838,0.963,0.855,0.942,0.903
jamais,0.541,0.672,0.506,0.427,0.163,0.089,0.003,0.0
cinq,0.905,0.519,0.656,0.827,0.914,0.925,0.666,0.533
taux,0.873,0.975,0.978,0.789,0.691,0.846,0.884,0.89
matin,0.108,0.005,0.059,0.057,0.019,0.0,0.033,0.217
nationale,0.502,0.703,0.874,0.976,0.993,0.988,0.971,0.919
hommes,0.556,0.792,0.966,0.535,0.379,0.21,0.457,0.437
jeu,0.098,0.252,0.058,0.026,0.015,0.011,0.013,0.057
surtout,0.917,0.869,0.643,0.796,0.898,0.531,0.588,0.665
police,0.529,0.913,0.432,0.597,0.709,0.87,0.821,0.764
milliards,0.529,0.937,0.876,0.926,0.899,0.985,0.975,0.881
mise,0.873,0.882,0.95,0.986,0.852,0.769,0.633,0.766
demande,0.159,0.216,0.12,0.274,0.671,0.761,0.906,0.881
art,0.546,0.61,0.577,0.578,0.734,0.871,0.973,0.943
membres,0.757,0.844,0.676,0.924,0.936,0.917,0.548,0.84
cependant,0.667,0.949,0.987,0.993,0.963,0.96,0.949,0.881
plan,0.222,0.25,0.207,0.599,0.863,0.974,0.903,0.56
pierre,0.332,0.739,0.861,0.677,0.337,0.114,0.161,0.448
loi,0.0,0.037,0.0,0.001,0.028,0.03,0.031,0.115
pourrait,0.121,0.0,0.012,0.182,0.173,0.251,0.665,0.663
jeunes,0.846,0.722,0.678,0.564,0.446,0.313,0.341,0.881
pris,0.344,0.582,0.545,0.502,0.844,0.806,0.964,0.881
début,0.762,0.714,0.829,0.882,0.873,0.682,0.513,0.881
coul,0.649,0.591,0.283,0.112,0.049,0.027,0.079,0.038
co,0.233,0.38,0.491,0.738,0.782,0.392,0.784,0.563
déclaré,0.551,0.626,0.911,0.992,0.993,0.965,0.925,0.881
générale,0.571,0.79,0.974,0.931,0.97,0.952,0.938,0.881
nom,0.211,0.254,0.081,0.037,0.168,0.402,0.661,0.881
er,0.598,0.816,0.478,0.299,0.24,0.66,0.82,0.764
aurait,0.804,0.972,0.979,0.958,0.961,0.985,0.964,0.881
raison,0.494,0.678,0.693,0.575,0.28,0.763,0.849,0.766
jean,0.555,0.72,0.417,0.195,0.361,0.112,0.269,0.55
ch,0.344,0.58,0.652,0.922,0.931,0.931,0.992,0.932
programme,0.452,0.338,0.502,0.815,0.966,0.879,0.822,0.881
problème,0.651,0.295,0.417,0.202,0.154,0.03,0.165,0.438
action,0.538,0.41,0.111,0.09,0.025,0.0,0.059,0.217
nouvelles,0.873,0.816,0.822,0.914,0.935,0.911,0.691,0.219
pouvoir,0.873,0.972,0.992,0.992,0.993,0.985,0.916,0.664
américain,0.211,0.63,0.475,0.694,0.677,0.755,0.807,0.881
canton,0.524,0.263,0.144,0.404,0.37,0.755,0.343,0.284
pu,0.317,0.081,0.008,0.065,0.424,0.638,0.621,0.374
allemagne,0.385,0.16,0.053,0.094,0.326,0.386,0.823,0.881
salle,0.221,0.141,0.148,0.207,0.147,0.245,0.523,0.881
am,0.111,0.196,0.113,0.082,0.438,0.579,0.759,0.316
heure,0.0,0.096,0.074,0.079,0.329,0.706,0.388,0.241
romande,0.519,0.604,0.216,0.306,0.266,0.075,0.375,0.102
aura,0.442,0.676,0.635,0.919,0.974,0.684,0.787,0.815
international,0.969,0.714,0.791,0.917,0.992,0.767,0.699,0.782
londres,0.113,0.424,0.401,0.457,0.665,0.767,0.939,0.881
côté,0.0,0.036,0.062,0.227,0.472,0.179,0.094,0.115
tant,0.218,0.823,0.718,0.716,0.698,0.39,0.344,0.114
bank,0.873,0.88,0.808,0.875,0.912,0.927,0.964,0.881
vue,0.482,0.856,0.695,0.904,0.789,0.877,0.903,0.881
hausse,0.873,0.735,0.799,0.833,0.753,0.912,0.975,0.881
ur,0.113,0.122,0.246,0.118,0.22,0.17,0.603,0.881
directeur,0.885,0.935,0.988,0.935,0.806,0.907,0.908,0.881
moment,0.753,0.703,0.59,0.458,0.386,0.16,0.241,0.881
seul,0.568,0.315,0.498,0.405,0.545,0.473,0.49,0.881
association,0.867,0.972,0.981,0.933,0.981,0.953,0.97,0.881
petit,0.209,0.495,0.474,0.31,0.13,0.087,0.43,0.8
vient,0.211,0.243,0.054,0.083,0.114,0.417,0.843,0.764
livre,0.294,0.026,0.563,0.329,0.445,0.453,0.351,0.616
ordre,0.344,0.49,0.631,0.898,0.94,0.846,0.986,0.947
direction,0.548,0.509,0.365,0.597,0.902,0.642,0.35,0.115
quant,0.873,0.785,0.541,0.743,0.924,0.832,0.882,0.881
face,0.873,0.908,0.891,0.963,0.93,0.965,0.964,0.766
parmi,0.666,0.562,0.452,0.309,0.536,0.625,0.875,0.881
eux,0.873,0.935,0.992,0.977,0.988,0.896,0.947,0.881
autant,0.873,0.972,0.967,0.987,0.876,0.734,0.886,0.881
économie,0.55,0.649,0.36,0.552,0.697,0.556,0.364,0.881
souvent,0.442,0.673,0.579,0.846,0.978,0.912,0.63,0.68
